,screen_width,window_height,workerId,window_width,curId,curTime,counterBalance_order,userAgent,runTime,screen_height,circle_key,tri_key,blue_key,red_key,color,shape,blockTime,Block,rt,totalPoints,stim_color,response_location,transition,rightpoints,trial,stim_shape,leftpoints,task_attempt,error,response_key
0,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,12.49,1,1360,2,blue,left,StartBlock,2,1,triangle,2,shape,0,tri_key
1,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,12.49,1,898,4,blue,left,Repeat,2,2,circle,2,shape,0,circle_key
2,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,12.49,1,1345,7,blue,right,Switch,3,3,triangle,1,color,0,blue_key
3,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,12.49,1,483,10,red,right,Repeat,3,4,circle,2,color,0,red_key
4,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,12.49,1,510,13,blue,right,Repeat,3,5,triangle,2,color,0,blue_key
5,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,12.49,1,385,16,blue,right,Repeat,3,6,circle,3,color,0,blue_key
6,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,12.49,1,363,16,blue,right,Repeat,2,7,triangle,3,color,1,red_key
7,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,12.49,1,1362,18,red,right,Repeat,2,8,triangle,3,color,0,red_key
8,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,12.49,1,752,20,blue,right,Repeat,2,9,triangle,3,color,0,blue_key
9,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.112,2,1127,2,blue,right,StartBlock,2,1,circle,2,color,0,blue_key
10,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.112,2,420,3,red,right,Repeat,1,2,triangle,3,color,0,red_key
11,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.112,2,344,6,red,left,Switch,1,3,triangle,3,shape,0,tri_key
12,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.112,2,531,9,blue,left,Repeat,2,4,circle,3,shape,0,circle_key
13,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.112,2,340,12,red,left,Repeat,2,5,triangle,3,shape,0,tri_key
14,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.112,2,430,14,blue,left,Repeat,3,6,circle,2,shape,0,circle_key
15,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.112,2,456,16,blue,left,Repeat,3,7,triangle,2,shape,0,tri_key
16,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.112,2,376,18,blue,left,Repeat,3,8,triangle,2,shape,0,tri_key
17,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.112,2,463,18,red,right,Switch,3,9,circle,1,color,1,blue_key
18,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.112,2,1103,21,blue,right,Repeat,3,10,triangle,1,color,0,blue_key
19,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,10.738,3,1096,2,blue,left,StartBlock,2,1,triangle,2,shape,0,tri_key
20,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,10.738,3,434,4,red,left,Repeat,3,2,circle,2,shape,0,circle_key
21,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,10.738,3,965,7,blue,right,Switch,3,3,circle,1,color,0,blue_key
22,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,10.738,3,505,9,blue,right,Repeat,2,4,triangle,2,color,0,blue_key
23,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,10.738,3,511,11,red,right,Repeat,2,5,triangle,3,color,0,red_key
24,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,10.738,3,521,13,blue,right,Repeat,2,6,triangle,3,color,0,blue_key
25,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,10.738,3,775,16,blue,left,Switch,1,7,triangle,3,shape,0,tri_key
26,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,10.738,3,547,18,red,left,Repeat,2,8,circle,2,shape,0,circle_key
27,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,10.738,3,867,20,red,left,Repeat,3,9,triangle,2,shape,0,tri_key
28,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.878,4,1103,2,red,left,StartBlock,2,1,circle,2,shape,0,circle_key
29,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.878,4,390,3,red,left,Repeat,2,2,triangle,1,shape,0,tri_key
30,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.878,4,696,4,red,left,Repeat,2,3,circle,1,shape,0,circle_key
31,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.878,4,557,5,blue,left,Repeat,2,4,triangle,1,shape,0,tri_key
32,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.878,4,775,8,blue,right,Switch,3,5,triangle,1,color,0,blue_key
33,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.878,4,450,10,blue,right,Repeat,2,6,circle,1,color,0,blue_key
34,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.878,4,370,11,blue,right,Repeat,1,7,circle,1,color,0,blue_key
35,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.878,4,706,12,blue,right,Repeat,1,8,triangle,2,color,0,blue_key
36,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.878,4,389,15,blue,left,Switch,1,9,triangle,3,shape,0,tri_key
37,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.878,4,376,18,red,left,Repeat,1,10,circle,3,shape,0,circle_key
38,1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.878,4,545,21,red,left,Repeat,2,11,triangle,3,shape,0,tri_key
